INFO 2025-08-03 19:36:19,335 basehttp 15120 7232 "GET /api/alerts/pending/ HTTP/1.1" 200 29021
WARNING 2025-08-03 19:36:19,336 basehttp 15120 17668 "GET /api/alerts/my_active_alert/ HTTP/1.1" 404 33
WARNING 2025-08-03 19:36:19,360 log 15120 17668 Not Found: /api/alerts/my_active_alert/
WARNING 2025-08-03 19:36:19,380 basehttp 15120 17668 "GET /api/alerts/my_active_alert/ HTTP/1.1" 404 33
INFO 2025-08-03 19:36:19,425 basehttp 15120 7232 "GET /api/alerts/pending/ HTTP/1.1" 200 29021
INFO 2025-08-03 19:36:22,695 basehttp 15120 9992 "OPTIONS /api/drivers/ HTTP/1.1" 200 0
INFO 2025-08-03 19:36:22,695 basehttp 15120 7232 "OPTIONS /api/drivers/ HTTP/1.1" 200 0
INFO 2025-08-03 19:36:22,696 basehttp 15120 17668 "OPTIONS /api/auth/current-user/ HTTP/1.1" 200 0
INFO 2025-08-03 19:36:22,749 basehttp 15120 9992 "OPTIONS /api/auth/current-user/ HTTP/1.1" 200 0
INFO 2025-08-03 19:36:22,883 basehttp 15120 7232 "GET /api/auth/current-user/ HTTP/1.1" 200 387
INFO 2025-08-03 19:36:22,890 basehttp 15120 17668 "GET /api/drivers/ HTTP/1.1" 200 2806
INFO 2025-08-03 19:36:22,979 basehttp 15120 7232 "GET /api/auth/current-user/ HTTP/1.1" 200 387
INFO 2025-08-03 19:36:23,167 basehttp 15120 17668 "GET /api/drivers/ HTTP/1.1" 200 2806
INFO 2025-08-03 19:36:25,358 basehttp 15120 17668 "OPTIONS /api/auth/current-user/ HTTP/1.1" 200 0
INFO 2025-08-03 19:36:25,363 basehttp 15120 17668 "OPTIONS /api/auth/current-user/ HTTP/1.1" 200 0
INFO 2025-08-03 19:36:25,393 basehttp 15120 17668 "GET /api/auth/current-user/ HTTP/1.1" 200 387
INFO 2025-08-03 19:36:25,441 basehttp 15120 17668 "GET /api/auth/current-user/ HTTP/1.1" 200 387
WARNING 2025-08-03 19:36:25,491 log 15120 7232 Not Found: /api/alerts/my_active_alert/
INFO 2025-08-03 19:36:25,546 basehttp 15120 9992 "GET /api/alerts/pending/ HTTP/1.1" 200 29021
WARNING 2025-08-03 19:36:25,573 basehttp 15120 7232 "GET /api/alerts/my_active_alert/ HTTP/1.1" 404 33
WARNING 2025-08-03 19:36:25,628 log 15120 7232 Not Found: /api/alerts/my_active_alert/
INFO 2025-08-03 19:36:25,646 basehttp 15120 17668 "GET /api/alerts/pending/ HTTP/1.1" 200 29021
WARNING 2025-08-03 19:36:25,660 basehttp 15120 7232 "GET /api/alerts/my_active_alert/ HTTP/1.1" 404 33
INFO 2025-08-03 19:40:22,995 basehttp 15120 7232 "POST /api/auth/token/refresh/ HTTP/1.1" 200 483
INFO 2025-08-03 19:44:23,032 basehttp 15120 7232 "POST /api/auth/token/refresh/ HTTP/1.1" 200 483
